,image_id,ques_en,ans_en,label
230,2409074,How many cars are there?,2,21
231,2394177,What kind of pets are these?,Dogs.,815
232,2339344,How many yellow flowers facing the camera?,3,28
233,2392791,What is on the plate?,Food.,920
234,2378433,What is surrounding it?,Trees.,2425
235,2316490,What is white?,Cat.,694
236,2316490,Who took the picture?,Man.,1358
237,2367880,What are the brown things on the pizza?,Mushrooms.,1398
238,2393970,Who is carrying a very large camera?,A man wearing a visor and knee-high shorts.,213
239,2332991,Where was the picture taken?,Tennis court.,2097
240,2332991,How many players?,One.,1687
241,2335177,What is the man using?,A trimmer.,335
242,2385206,Where is the street sign?,On the sidewalk.,1638
243,2392303,What are the tops of the towers like?,Pointed.,1800
244,2392303,What is front of the palace?,A calm lake.,105
245,2403773,What is the tv sitting on?,Shelf.,1920
246,2365039,What striped black and white animal is this?,Zebra.,2618
247,2392923,What pattern is on tie?,Blue stripe.,618
248,2353595,What color is the dog?,Black.,603
249,2345930,What Color is the mascot's robe?,Maroon.,1365
250,2326701,What color is the train?,Yellow and brown.,2605
251,2326701,Who is waiting on the platform?,No one.,1449
252,2361297,What kind of shoes?,Tennis shoes.,2102
253,2415420,How many sinks are in the photo?,One.,1687
254,2384817,What is on top of the plane?,A space shuttle.,295
255,2393380,What is the color of the ground?,White.,2563
256,2393380,What is the front end?,Of the plane.,1474
257,2410197,What is in the skier's hands?,Poles.,1802
258,2409658,Where are white lines?,On the court.,1583
259,2336673,How long is the dog's tail?,Short.,1926
260,2391656,What hand is holding the pizza?,Right hand.,1866
261,2391656,Who is eating the pizza?,The girl.,2176
262,2360727,What hand is holding the candy apple?,Right.,1872
263,2330978,What is yellow?,Helmet.,1042
264,2339344,What color are the rocks on shore?,Grey.,1015
265,2335797,Who is holding the remote?,Boy.,635
266,2322887,How many people on skiis?,One.,1687
267,2389363,What sport is being played?,Tennis.,2103
268,2359510,What are the eyelashes?,Grass.,987
269,2392791,Where is the man sitting?,At at table.,461
270,2391500,What kind of pants is the man wearing?,Jeans.,1249
271,2391500,What is the man facing?,The camera.,2148
272,2379652,What is the weather like?,Fair.,877
273,2332991,Who is in the picture?,Woman.,2588
274,2392303,What is the clocktower called?,Big Ben.,581
275,2321878,What has grown from the ground?,Grass and trees.,985
276,2410990,What is the animal on the extreme left?,A ram.,261
277,2333753,How many chairs are there in the photo?,Three.,2320
278,2326701,What vehicle is in the picture?,A train.,330
279,2326701,What number is on the sign?,4,34
280,2415420,What is this a photo of?,A bathroom.,75
281,2376728,What is on the napkin?,Forks.,936
282,2373667,How is the sky above?,Cloudy.,747
283,2405799,What color is the bench?,Gray with printing.,992
284,2373313,Where is the laptop?,On the bed.,1565
285,2326262,What is the woman looking at?,Computer screen.,755
286,2383244,What color is the puppy?,Brown and white.,649
287,2409074,Why is a surfboard on the roof?,It is too long for the inside.,1217
288,2409074,How many headlights?,Two.,2446
289,2326635,When will the fountain stop?,It is a continous flow.,1199
290,2389363,Who is wearing glasses?,Tennis player.,2098
291,2359510,How is the snowman standing up?,Two sticks.,2442
292,2370863,Where is the girl riding the bike?,In the street.,1176
293,2415316,How many men are there?,One.,1687
294,2415316,Why is the man holding an umbrella?,It is raining.,1214
295,2379652,What is the parking location?,Tarmac.,2086
296,2386210,Where are they?,Tennis Court.,2094
297,2321878,Where are the leaves?,On the tree.,1653
298,2321878,Where is the white hat?,On the woman's head.,1661
299,2408770,What color are the man's socks?,Black.,603
300,2410990,What is the number of sheep without horns?,Three.,2320
301,2345930,What color is the grass?,Green.,1009
302,2345930,How many people on the field are in red?,5,37
303,2324679,Where is the surfboard?,Under the person.,2464
304,2333753,What color is the lamb?,Dirty white.,806
305,2364944,How many toilets are there?,One.,1687
306,2393380,What is written in the plane?,Express.,873
307,2359902,Where is there water?,Toilet bowl.,2391
308,2396561,What is beneath the bear?,The sidewalk.,2239
309,2391656,What is on the table in front of the girl?,Plate.,1788
310,2413552,What color is the woman's hair?,Blonde.,607
311,2413552,What color is the wetsuit?,Black and blue.,587
312,2374167,What is the woman wearing?,White veil.,2559
313,2330978,What is brown?,Ground.,1017
314,2326635,Why are there poles next to the building?,It's under construction.,1236
315,2326635,Where are the buildings?,In the distance.,1147
316,2399443,What is the woman doing with the right foot?,Stepping on the leash.,2014
317,2389363,What is on the man's eyes?,Glasses.,973
318,2359510,What is around the snowman's neck?,The tie.,2256
319,2385913,What color is the plate?,White.,2563
320,2317544,Where was the photo taken?,A shopping center.,286
321,2417622,What color is the pole the man is holding?,Blue and white.,612
322,2386210,What are they holding?,Tennis Racket.,2095
323,2393970,What is on the ground?,Line.,1322
324,2393748,What is cast?,Shadows.,1914
325,2332991,What is she swinging?,Tennis racquet.,2101
326,2332991,What is green?,Trees.,2425
327,2389352,Who is wearing black jeans?,The boy.,2139
328,2407651,How many windows are visible?,Just one.,1257
329,2407651,What is red?,A line painted on a wooden bureau.,203
330,2403773,Why is the screen on?,The tv is on.,2270
331,2341904,How many clouds?,None.,1456
332,2341904,Where is the train?,On tracks.,1670
333,2353595,What color are the dogs paws?,Brown.,655
334,2345930,When was this picture taken?,Daytime.,800
335,2395647,What number is on the post?,12,14
336,2333753,Who is washing the lamb?,A woman.,356
337,2342072,Why is the keyboard needed?,To type.,2388
338,2401010,What is being brushed?,Teeth.,2091
339,2376233,Where are the red blinking lights?,On the wing tips.,1659
340,2410197,What color are the man's pants?,Blue.,621
341,2410197,What is the skier holding?,Poles.,1802
342,2409658,What is green and blue?,The court.,2159
343,2373667,What are lined up in front of the building on the left?,Trees.,2425
344,2405799,What was her age?,About 20.,367
345,2396561,What kind of window is above bear?,Glass.,972
346,2316899,Who is in the photo?,No one.,1449
347,2370772,Where was the picture taken?,Mountain.,1390
348,2372875,What are the people doing?,Walking.,2494
349,2394177,Where are the dogs?,Parking lot.,1735
350,2335797,What is this photo of?,Man and boy.,1347
351,2322887,Where is the snow?,On the ground.,1595
352,2335099,What is next to the computer?,A mouse.,226
353,2335099,How many computers are there?,1,7
354,2316490,Where are the chairs?,Behind the cat.,536
355,2417622,What color is the cat?,Black.,603
356,2417622,Why is the cat looking up?,It's looking at the feathers of the cat toy.,1228
357,2403773,What is the cat's iris color?,Green.,1009
358,2365039,What are the zebras doing?,Standing.,2006
359,2391010,Where is the plate?,On a ledge.,1499
360,2340332,How many players are holding bats?,3,28
361,2392682,How is the weather?,Sunny.,2057
362,2342072,What color is the remote control?,White.,2563
363,2393380,What is seen in the picture?,Aeroplane.,379
364,2393380,What is this photo of?,A runway.,272
365,2408726,What color is the plate?,Yellow.,2612
366,2410197,What color is the man's jacket?,White.,2563
367,2370799,What sort of terrain is the bike rider on?,A dirt road.,142
368,2375728,What is lining the side of the food?,Cucumbers.,779
369,2415601,Where is the car without headlights?,In the front.,1151
370,2349358,What is in the photo?,Giraffes.,968
371,2382724,What color is the whizzo box?,Red and yellow.,1848
372,2336673,What is the dog holding?,A frisbee.,159
373,2391656,What toppings are on the pizza?,Cheese and sauce.,710
374,2383244,Who is taking the picture?,Man and woman.,1348
375,2394177,What has tires?,A motorbike.,223
376,2326635,How are the bikes standing there?,They are held up by the railing.,2305
377,2329138,When was the picture taken?,Daytime.,800
378,2339344,Where are the rocks with fruit on them?,On the river bed.,1626
379,2339344,Where is the fruit?,On the rocks.,1629
380,2335797,When was this taken?,Bedtime.,525
381,2385913,What is the table made of?,Wood.,2593
382,2335099,When was the pic taken?,During the day.,846
383,2378433,When was the pic taken?,During the day.,846
384,2316490,What is gree?,Umbrella.,2449
385,2367880,Where is the knife?,Above the food.,371
386,2408770,How is the weather?,Sunny.,2057
387,2410990,What is sticking out of the ground?,Branches.,636
388,2341904,How many trains?,One.,1687
389,2365039,What pattern is the zebra?,Stripes.,2039
390,2410068,What model is the laptop?,Apple.,430
391,2410068,What color is the laptop?,Black.,603
392,2391010,What is grey and large?,Concrete wall.,757
393,2415913,When was this taken?,Daytime.,800
394,2415601,Why are the cars moving?,The light is green.,2192
395,2349358,Where was this photo taken?,At a zoo.,456
396,2414132,What is the cars covered in?,Snow.,1970
397,2336673,What is the color of the grass?,Green.,1009
398,2373313,What is on the pillow?,The laptop case.,2190
399,2396561,What part of the storefront is seen?,Window.,2568
400,2332193,How many people are pictured?,None.,1456
401,2332193,Where is this picture taken?,At the zoo.,475
402,2390993,What is in the man's hand?,Rope.,1881
403,2329138,What has windows?,Buildings.,663
404,2399443,What is the woman wearing?,A t-shirt and shorts.,311
405,2385913,What utensil is on the plate?,Fork.,935
406,2328500,What color is the boat?,Blue.,621
407,2346516,What color is the sippy cup spout?,Green.,1009
408,2346516,What color is the baby's wearing?,Light blue.,1314
409,2317544,What is the woman looking at to the left of the photo?,A cell phone.,114
410,2391500,What is under the man?,Skateboard.,1945
411,2367880,What is the pizza for?,Eating.,856
412,2386210,What are these people playing?,Tennis.,2103
413,2393748,What number is on the red jersey?,5,37
414,2385206,What is the street sign says?,STOP all way.,1892
415,2410990,What direction are three of the sheep looking in?,To the right.,2386
416,2365039,What is there seven of showing on the zebras?,Legs.,1306
417,2410068,What is the pattern of the bedspread?,Floral.,907
418,2410068,What is the white cord on the bed?,Charge cord.,707
419,2395647,What is this area called?,Canal.,681
420,2342072,Who types on the keyboard?,The computer user.,2158
421,2342072,What color is the keyboard?,White.,2563
422,2401010,What moisture is the woman's mouth?,Wet.,2522
423,2376233,Where is the plane?,In the sky.,1174
424,2384817,How many planes are there?,Two.,2446
425,2373667,What is between the camera and the bench?,Steel grate.,2011
426,2375728,What are the crackers on?,A doily.,147
427,2405799,Where was this picture taken?,At a park.,446
428,2370992,What shape is the home button?,Round.,1883
429,2332193,What color is the birds neck?,Black.,603
430,2360727,What type of ride is the woman on?,Ferris wheel.,892
431,2372150,Where is the keyboard?,On laaptop.,1541
432,2399443,What is on the beach?,Sand.,1901
433,2322887,Why is it cold?,Its wintertime.,1242
434,2400498,Where is the person?,Under the blanket.,2458
435,2370863,What keeps the tire on the bike?,The rim.,2231
436,2346516,Where is this picture taken?,A restaurant.,265
437,2392791,What color is the table?,Blue.,621
438,2316490,How many cats?,One.,1687
439,2415316,Who is holding the umbrella?,A man.,214
440,2379652,Who is there?,No one.,1449
441,2385206,What is the color of the sign?,Red.,1854
442,2403773,Where are the green eyes?,Cat.,694
443,2341904,What color is the first engine?,Red.,1854
444,2392923,How many ties are there?,Two.,2446
445,2391010,What is round and white?,Paper plate.,1723
446,2324679,What is the person doing?,Surfing.,2062
447,2326701,How many trains are in the picture?,1,7
448,2364944,What are on long windows?,Shutters.,1930
449,2401582,What on top of the groom teddy bear head?,Hat.,1030
450,2373667,What building is in the middle?,The short one.,2238
451,2359902,How is the wall base?,Tiled.,2325
452,2405799,Why is there writing on the bench?,For remembrance.,927
453,2396561,Why is the street light on?,It is dark outside.,1205
454,2332193,Who is taking thep picture?,Photographer.,1766
455,2370772,What condition is the weather?,Sunny and cold.,2054
456,2370772,What is being worn on the man's head?,Goggles.,977
457,2372875,Where is the train?,Track.,2412
458,2400596,What is on the chef's head?,Hat.,1030
459,2394177,What is the dog on?,Bike.,582
460,2399443,Where is the woman?,On a beach.,1483
461,2370863,What is the person riding?,A bike.,84
462,2335099,Where was the picture taken?,Home office.,1054
463,2328500,How many boats are seen?,1,7
464,2317544,What is covering the ground?,Stone.,2017
465,2415316,What color is the umbrella?,Black.,603
466,2386210,How many courts can you see?,Four.,940
467,2393970,What is the man holding?,A camera.,106
468,2389352,Who is casting shadows?,The boys.,2141
469,2391010,What is the food sitting on?,A plate.,254
470,2340332,What is the name of the team on the player sitting down shirt?,Twins.,2431
471,2384775,Where Is the man's neck tie?,Around his neck.,433
472,2415913,What is below the desk?,A keyboard.,192
473,2415913,What is the laptop on?,A desk.,141
474,2401010,Where is the toothbrush aimed?,Down.,825
475,2327133,Where are the white lines?,Road.,1875
476,2327133,Where was the photo taken?,On a country road.,1491
477,2370799,Where are the helmets?,On the bikers' heads.,1568
478,2370799,"What is surrounded by tall, yellow grass?","A large, old tree, on side of trail.",200
479,2340094,What color is the cat?,"Brown, white, and black.",654
480,2349358,What color are the rocks?,Brown.,655
481,2370992,What is on the table?,Dark marks.,793
482,2382724,What is the shelf made of?,Glass.,972
483,2336673,What is the color of the dog?,Brown.,655
484,2373313,Where are the pens?,On bed.,1524
485,2326262,What color is the fabric on the chairs?,Green.,1009
486,2383244,What is the main subject?,Stuffed animals.,2042
487,2413552,How is the woman balancing on the surfboard?,She's using her legs and arms.,1917
488,2390993,How is the man controlling the horse?,Bridle.,641
489,2390993,Who is on the horse?,A man.,214
490,2370772,What is the man doing?,Smiling.,1965
491,2360727,What is hanging from the woman's shirt?,Sunglasses.,2050
492,2372150,What is the cat looking at?,Screen.,1906
493,2326635,What is the brand name on the bike?,It says bicing.,1219
494,2359510,What is on the roof of the building?,The snow.,2243
495,2346516,What are the people eating?,Pizza.,1780
496,2392791,How would you describe the color of the tables?,Blue.,621
497,2391500,What is the person doing?,Skateboarding.,1947
498,2393748,Who is playing the game?,Some men.,1983
499,2354438,What is the woman carrying?,A baby.,61
500,2368636,What is yellow?,The bananas.,2117
501,2403760,What is being flown?,Kites.,1267
502,2359980,How many oranges are not in the bowl?,4,34
503,2403313,What are the boys sitting on?,Bench.,566
504,2403313,What are the men sitting on?,A bench.,81
505,2389113,Where is the water?,Next to the boats.,1424
506,2364139,Where are the yellow lines?,On the road.,1627
507,2342858,Who is in front of the umpire?,The catcher.,2151
508,2403941,What is the color of the sign?,Red.,1854
509,2401948,Where is the slice of pizza?,On the plate.,1617
510,2400965,What is colored gray?,Poles.,1802
511,2388459,What is in the open space above the bridge?,Blue sky without clouds.,617
512,2324044,What is in the foreground?,A motorcycle.,224
513,2317507,What are the people doing?,Skiing.,1955
514,2407619,How many big trees are there?,Two.,2446
515,2382680,How is the weather?,Sunny and warm.,2055
516,2323851,What color are the person's pants?,Black.,603
517,2323851,When was this picture taken?,Daytime.,800
518,2353273,What color is the horse?,Brown.,655
519,2408332,What is covering toilet lid and seat?,Dirt.,805
520,2408332,What is the pipe for on the floor?,Plumbing.,1799
521,2371631,What is the statue made of?,Stone.,2017
522,2348931,What is this photo of?,Elephants in a stadium.,864
523,2350161,Where is the cat's tail?,Shoulder strap.,1928
524,2378451,How many cats are in the picture?,One.,1687
525,2373130,What is the woman in front doing?,Looking at her cellphone.,1332
526,2373130,How many people are visible?,Three.,2320
527,2380749,What color is the bus?,White and green.,2543
528,2390092,Where are the green beans?,Near the carrots.,1409
529,2356248,When was this taken?,Daytime.,800
530,2386594,What color is the frisbee?,White.,2563
531,2393860,What is to the left of the train?,Tracks.,2413
532,2393860,What very tall brown and green leafy things grow here?,Trees.,2425
533,2319313,Where are the giraffes?,The bottom right.,2134
534,2319313,What is on display?,Animals.,422
535,2351920,Where is the man?,On the bike.,1567
536,2360987,What is in the picture?,A bathroom.,75
537,2403760,What color is the little girl's dress?,White.,2563
538,2386905,What color are the people's hair?,Gray.,993
539,2392832,What is on the woman's head?,Baseball cap.,504
540,2353018,How many people are there?,Two.,2446
541,2319245,Where is the white hat?,On the man on the left's head.,1605
542,2400965,What color are the street lights?,Green.,1009
543,2365007,Where are the shadows?,On the water.,1656
544,2370142,Who is dressed up?,A dog.,146
545,2341167,How many people are there?,Two.,2446
546,2347031,How many cats are there?,One.,1687
547,2319911,Why are the bus and car blurry?,They are moving.,2306
548,2360685,What animal is on the grass?,Sheep.,1918
549,2323851,How many people are in this picture?,1,7
550,2401949,Where are the windows?,On the building.,1574
551,2371631,What is used to tell the time?,Clock.,741
552,2371631,Where is the clock?,Between the statue.,577
553,2400749,What is wooden and brown?,The headboard.,2181
554,2350161,What is next to the cat?,Purse.,1822
555,2350161,What is laying on the bed?,Cat.,694
556,2340750,What is in the picture?,A Frisbee.,55
557,2378451,Who is driving the car?,No one.,1449
558,2378451,How many ears does the cat have?,Two.,2446
559,2407576,What color are the reins?,Brown.,655
560,2415552,How many people are riding on elephants?,Zero.,2620
561,2380749,Where is this picture taken?,Sidewalk.,1932
562,2390092,Where are the carrots?,On plate.,1549
563,2389897,What is in the sky?,Clouds.,746
564,2345094,How is the photo?,Clear.,736
565,2322510,When was the picture taken of the bird?,Daytime.,800
566,2400262,What is the black fence surrounding?,The skatepark.,2241
567,2351920,When is this taken?,During the day.,846
568,2389113,What is silver in color?,The boat.,2131
569,2342715,Who does this kind of skiing?,Athletes.,476
570,2368125,What is on the flag pole?,An american flag.,407
571,2368125,When time of day?,Afternoon.,387
572,2373265,Who is holding the umbrella?,A woman.,356
573,2355228,When was the photo taken?,Daytime.,800
574,2365007,What is in the boat?,A seat.,279
575,2341095,What kind of room is this?,Bathroom.,510
576,2341095,When is this taking place?,Daytime.,800
